GEO_ID,BachDegrees,TotalPop,CountyName,NormBach
17019011001,654.00,1988.00, Champaign County,32.89738431
17019011002,867.00,2138.00, Champaign County,40.55191768
17019011100,710.00,2246.00, Champaign County,31.61175423
17021958100,242.00,2237.00, Christian County,10.8180599
17021958200,233.00,2898.00, Christian County,8.040027605
17021958300,452.00,3486.00, Christian County,12.96615032
17021958400,423.00,2765.00, Christian County,15.29837251
17021958500,239.00,1739.00, Christian County,13.74353076
17021958600,310.00,1570.00, Christian County,19.74522293
17021958700,400.00,3855.00, Christian County,10.37613489
17021958800,246.00,1991.00, Christian County,12.3556002
17021958900,125.00,1930.00, Christian County,6.476683938
17021959000,672.00,3684.00, Christian County,18.24104235
17023060100,599.00,3434.00, Clark County,17.44321491
17023060200,429.00,3104.00, Clark County,13.82087629
17023060300,452.00,4160.00, Clark County,10.86538462
17023060400,208.00,1395.00, Clark County,14.91039427
17025971900,214.00,1812.00, Clay County,11.81015453
17025972000,194.00,2287.00, Clay County,8.482728465
17025972100,253.00,3923.00, Clay County,6.449146062
17025972200,325.00,2179.00, Clay County,14.91509867
17027900100,894.00,4530.00, Clinton County,19.73509934
17027900200,201.00,1502.00, Clinton County,13.38215712
17027900300,779.00,5365.00, Clinton County,14.52003728
17027900401,161.00,992.00, Clinton County,16.22983871
17027900403,539.00,3273.00, Clinton County,16.46807211
17027900404,87.00,943.00, Clinton County,9.225874867
17027900500,486.00,5604.00, Clinton County,8.672376874
17027900601,373.00,2130.00, Clinton County,17.51173709
17027900602,840.00,5270.00, Clinton County,15.93927894
17029000100,177.00,2273.00, Coles County,7.787065552
17029000200,717.00,4496.00, Coles County,15.9475089
17029000300,475.00,3514.00, Coles County,13.51735913
17029000400,80.00,2188.00, Coles County,3.65630713
17029000500,591.00,5550.00, Coles County,10.64864865
17029000600,365.00,2674.00, Coles County,13.6499626
17029000701,592.00,2812.00, Coles County,21.05263158
17029000702,823.00,2833.00, Coles County,29.05047653
17029000800,162.00,3999.00, Coles County,4.051012753
17029000900,852.00,3420.00, Coles County,24.9122807
17029001000,402.00,2455.00, Coles County,16.37474542
17029001100,300.00,2850.00, Coles County,10.52631579
17029001200,439.00,2828.00, Coles County,15.52333805
17031010100,1111.00,3887.00, Cook County,28.58245433
17031010201,949.00,5525.00, Cook County,17.17647059
17031010202,532.00,2541.00, Cook County,20.93663912
17031010300,1498.00,5587.00, Cook County,26.81224271
17031010400,1267.00,4814.00, Cook County,26.31906938
17031010501,1218.00,3475.00, Cook County,35.05035971
17031010502,799.00,2556.00, Cook County,31.25978091
17031010503,465.00,1846.00, Cook County,25.18959913
17031010600,1712.00,5492.00, Cook County,31.17261471
17031010701,698.00,2953.00, Cook County,23.63697934
17031010702,946.00,3513.00, Cook County,26.9285511
17031020100,871.00,3149.00, Cook County,27.65957447
17031020200,1428.00,4797.00, Cook County,29.76860538
17031020301,1455.00,3756.00, Cook County,38.73801917
17031020302,1189.00,3564.00, Cook County,33.36139169
17031020400,1061.00,3247.00, Cook County,32.6763166
17031020500,804.00,5061.00, Cook County,15.8861885
17031020601,1374.00,4073.00, Cook County,33.73434815
17031020602,1529.00,3954.00, Cook County,38.66970157
17031020701,419.00,1437.00, Cook County,29.15796799
